epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.545,2.08819,3.17586,1.81358,0.01641,0.31071,0.17352,0.07728,1.88391,3.70692,1.72557,0.00034296,0.00034296,0.00034296
2,307.909,1.93752,2.26168,1.67514,0.89833,0.10526,0.15648,0.05377,2.06106,3.44972,1.89522,0.000693278,0.000693278,0.000693278
3,457.478,1.91924,2.03793,1.65544,0.62244,0.19211,0.34339,0.12918,1.99712,3.0055,1.74057,0.00103652,0.00103652,0.00103652
4,606.359,1.9157,1.9178,1.64752,0.58948,0.14173,0.2528,0.08244,2.13111,3.10111,1.88398,0.00137269,0.00137269,0.00137269
5,756.203,1.9111,1.84599,1.65296,0.43453,0.54606,0.50884,0.20088,1.95219,2.79803,1.7949,0.00137241,0.00137241,0.00137241
6,908.464,1.84644,1.70776,1.58424,0.55581,0.53427,0.58399,0.24115,2.0027,2.39505,1.76498,0.00135826,0.00135826,0.00135826
7,1056.2,1.86751,1.68956,1.58363,0.66544,0.61431,0.6502,0.28112,1.96041,1.7243,1.73161,0.00134412,0.00134412,0.00134412
8,1207.31,1.82314,1.6072,1.57565,0.62822,0.63052,0.65719,0.27666,1.90877,1.78232,1.67122,0.00132997,0.00132997,0.00132997
9,1358.36,1.80735,1.53977,1.54586,0.63532,0.62039,0.67134,0.28431,1.9455,1.82895,1.67292,0.00131582,0.00131582,0.00131582
10,1507.31,1.7799,1.49798,1.52184,0.66016,0.63244,0.65284,0.28537,1.95511,1.66711,1.69249,0.00130168,0.00130168,0.00130168
11,1656.38,1.72269,1.42716,1.47851,0.70457,0.66142,0.68936,0.3049,1.86412,1.5082,1.63434,0.00128753,0.00128753,0.00128753
12,1805.97,1.75101,1.42951,1.55088,0.71625,0.66591,0.7169,0.32021,1.87119,1.44719,1.64611,0.00127338,0.00127338,0.00127338
13,1953.57,1.73939,1.35945,1.48584,0.76302,0.60887,0.68979,0.31006,1.93039,1.44762,1.65578,0.00125923,0.00125923,0.00125923
14,2102.66,1.75435,1.34277,1.50177,0.73532,0.63343,0.68812,0.31224,1.93085,1.45473,1.63226,0.00124509,0.00124509,0.00124509
15,2251.83,1.74987,1.35714,1.50857,0.7085,0.63263,0.68533,0.29732,1.93132,1.47693,1.6624,0.00123094,0.00123094,0.00123094
16,2399.82,1.70839,1.27264,1.47243,0.75564,0.70302,0.73745,0.33426,1.82167,1.31947,1.59741,0.00121679,0.00121679,0.00121679
17,2548.78,1.70237,1.24965,1.47418,0.72924,0.71779,0.74117,0.33763,1.84611,1.30797,1.58966,0.00120265,0.00120265,0.00120265
18,2697.79,1.68479,1.24826,1.48022,0.72388,0.64283,0.70562,0.31926,1.86626,1.37607,1.62507,0.0011885,0.0011885,0.0011885
19,2844.96,1.68884,1.2587,1.45471,0.72739,0.70046,0.73409,0.34225,1.81273,1.34922,1.5759,0.00117435,0.00117435,0.00117435
20,2993.73,1.73074,1.25179,1.49393,0.73595,0.68438,0.68402,0.30718,1.87732,1.45993,1.61724,0.00116021,0.00116021,0.00116021
21,3142.12,1.6818,1.23139,1.48926,0.76175,0.67032,0.71943,0.32206,1.88351,1.25277,1.61168,0.00114606,0.00114606,0.00114606
22,3290.41,1.6386,1.1882,1.45026,0.7406,0.67198,0.71603,0.31986,1.82344,1.26336,1.57185,0.00113191,0.00113191,0.00113191
23,3438.24,1.66893,1.1716,1.4617,0.78281,0.65218,0.72774,0.34241,1.84176,1.24383,1.59213,0.00111776,0.00111776,0.00111776
24,3588.6,1.64923,1.17774,1.44761,0.75774,0.6865,0.7246,0.32225,1.8155,1.24827,1.5877,0.00110362,0.00110362,0.00110362
25,3737.62,1.64534,1.14037,1.42811,0.79587,0.70394,0.74781,0.34204,1.81157,1.19246,1.58069,0.00108947,0.00108947,0.00108947
26,3886.97,1.61537,1.13534,1.43343,0.81214,0.68875,0.74702,0.36204,1.80426,1.22607,1.54054,0.00107532,0.00107532,0.00107532
27,4035.75,1.61397,1.12736,1.43755,0.78742,0.71356,0.75522,0.35919,1.77805,1.15533,1.56085,0.00106118,0.00106118,0.00106118
28,4184.03,1.58453,1.0799,1.41191,0.75908,0.70677,0.75024,0.35029,1.81197,1.1397,1.57748,0.00104703,0.00104703,0.00104703
29,4332.91,1.5849,1.04329,1.39516,0.68976,0.70737,0.72129,0.33292,1.86853,1.14035,1.62192,0.00103288,0.00103288,0.00103288
30,4484.31,1.59962,1.06357,1.41402,0.75081,0.72463,0.75089,0.34484,1.85955,1.18295,1.60164,0.00101873,0.00101873,0.00101873
31,4636.46,1.59349,1.0686,1.42217,0.81753,0.74027,0.77302,0.35826,1.88027,1.08985,1.57751,0.00100459,0.00100459,0.00100459
32,4783.35,1.57594,1.02421,1.38741,0.79536,0.73995,0.75114,0.35062,1.87756,1.06357,1.60183,0.00099044,0.00099044,0.00099044
33,4931.71,1.55596,1.01603,1.3633,0.82326,0.74094,0.7914,0.37198,1.82345,1.06051,1.57611,0.000976293,0.000976293,0.000976293
34,5081.1,1.50815,0.98954,1.36497,0.80835,0.73111,0.77357,0.37253,1.78727,1.06908,1.55962,0.000962146,0.000962146,0.000962146
35,5228.71,1.54627,1.01735,1.37315,0.78848,0.74769,0.76448,0.36662,1.79214,1.05255,1.54471,0.000947999,0.000947999,0.000947999
36,5375.02,1.52757,1.0027,1.38423,0.82736,0.65315,0.74854,0.35838,1.79142,1.11496,1.55175,0.000933851,0.000933851,0.000933851
37,5520.79,1.52125,0.98505,1.37154,0.84414,0.75344,0.79325,0.36561,1.84047,1.04701,1.57723,0.000919704,0.000919704,0.000919704
38,5667.46,1.50275,0.98884,1.35867,0.84464,0.74014,0.79554,0.37933,1.81383,1.03058,1.54615,0.000905557,0.000905557,0.000905557
39,5813.84,1.53834,0.96204,1.35433,0.76989,0.7407,0.75499,0.36293,1.83247,1.05916,1.55129,0.00089141,0.00089141,0.00089141
40,5961.27,1.53653,0.98519,1.35238,0.80032,0.74161,0.76005,0.36271,1.77091,1.10463,1.53848,0.000877263,0.000877263,0.000877263
41,6109.82,1.5055,0.96649,1.36084,0.81514,0.73747,0.78547,0.37543,1.81715,1.03199,1.56771,0.000863116,0.000863116,0.000863116
42,6258.97,1.48576,0.91862,1.33163,0.80774,0.70626,0.76825,0.36838,1.80182,1.0876,1.55439,0.000848969,0.000848969,0.000848969
43,6405.62,1.47639,0.88965,1.33634,0.8414,0.69817,0.77609,0.37487,1.80046,1.03474,1.53078,0.000834822,0.000834822,0.000834822
