epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,50040,1.09799,0.91464,1.18311,0.66064,0.78165,0.77453,0.56162,1.0106,0.78624,1.15148,0.000806528,0.000806528,0.000806528
24,52189.3,1.09504,0.91325,1.1731,0.63987,0.79023,0.76315,0.54929,1.01252,0.80188,1.1536,0.000778233,0.000778233,0.000778233
25,54360.5,1.08543,0.91203,1.17334,0.63821,0.77278,0.76076,0.55475,1.00011,0.77354,1.14752,0.000749939,0.000749939,0.000749939
26,56507.6,1.07157,0.88556,1.16634,0.64149,0.78929,0.77347,0.56751,0.99248,0.76586,1.14701,0.000721645,0.000721645,0.000721645
27,58661.5,1.06578,0.88935,1.15975,0.64762,0.79402,0.76995,0.56,1.00146,0.77968,1.14282,0.000693351,0.000693351,0.000693351
28,60815.8,1.06556,0.89327,1.16372,0.65222,0.78279,0.76338,0.55819,0.99014,0.78635,1.13989,0.000665057,0.000665057,0.000665057
29,62971.3,1.06303,0.88415,1.16273,0.62169,0.8066,0.77227,0.56661,0.98536,0.76408,1.13864,0.000636762,0.000636762,0.000636762
30,65130,1.05103,0.8753,1.15666,0.66769,0.78295,0.77964,0.57765,0.97448,0.76321,1.13264,0.000608468,0.000608468,0.000608468
31,67285.7,1.05215,0.87329,1.1568,0.66253,0.76145,0.77493,0.56951,0.96284,0.75848,1.12891,0.000580174,0.000580174,0.000580174
32,69449.7,1.02863,0.85697,1.14143,0.64164,0.79439,0.78115,0.57971,0.97758,0.74742,1.13707,0.00055188,0.00055188,0.00055188
33,71598.4,1.02743,0.8506,1.14561,0.6743,0.78111,0.78177,0.58697,0.94635,0.73221,1.11821,0.000523586,0.000523586,0.000523586
34,73750.1,1.01877,0.84906,1.13328,0.66457,0.77586,0.78017,0.5825,0.95266,0.73835,1.124,0.000495291,0.000495291,0.000495291
35,75897.7,1.01445,0.83626,1.13446,0.65773,0.78078,0.77994,0.58123,0.94661,0.7425,1.11435,0.000466997,0.000466997,0.000466997
36,78068.2,1.00274,0.82138,1.1341,0.68187,0.74695,0.78026,0.58545,0.93708,0.72929,1.11116,0.000438703,0.000438703,0.000438703
37,80225.9,1.00524,0.82776,1.13027,0.67285,0.769,0.78408,0.58807,0.94191,0.72819,1.11407,0.000410409,0.000410409,0.000410409
38,82371.8,0.9956,0.82049,1.12953,0.65826,0.80887,0.78299,0.58649,0.93989,0.72818,1.10913,0.000382115,0.000382115,0.000382115
39,84510.5,0.9886,0.81743,1.12813,0.67494,0.7754,0.78421,0.5909,0.92784,0.71322,1.10451,0.00035382,0.00035382,0.00035382
40,86662.1,0.98136,0.80764,1.11975,0.66915,0.79059,0.78855,0.59667,0.92585,0.71222,1.11055,0.000325526,0.000325526,0.000325526
41,88745.5,0.89265,0.71181,1.08906,0.68247,0.78164,0.78561,0.59305,0.9267,0.71244,1.10737,0.000297232,0.000297232,0.000297232
42,90821,0.87556,0.69488,1.07327,0.6625,0.80228,0.78934,0.59317,0.9315,0.70831,1.10877,0.000268938,0.000268938,0.000268938
43,92898.1,0.86631,0.68803,1.07035,0.67189,0.79206,0.79319,0.6047,0.91233,0.70166,1.09602,0.000240644,0.000240644,0.000240644
44,94982.7,0.86105,0.67679,1.0701,0.66371,0.81615,0.79409,0.60282,0.92186,0.70036,1.09966,0.000212349,0.000212349,0.000212349
45,97056.3,0.84647,0.67366,1.059,0.66725,0.81902,0.79278,0.60084,0.91578,0.70075,1.0977,0.000184055,0.000184055,0.000184055
46,99174.2,0.83552,0.66617,1.05305,0.65715,0.81365,0.79156,0.60596,0.90699,0.69595,1.09351,0.000155761,0.000155761,0.000155761
47,101250,0.8276,0.65832,1.05155,0.67826,0.79233,0.79314,0.60688,0.90418,0.6925,1.09498,0.000127467,0.000127467,0.000127467
48,103331,0.82095,0.65296,1.04556,0.67993,0.77578,0.79437,0.60731,0.90574,0.68957,1.09469,9.91726e-05,9.91726e-05,9.91726e-05
49,105408,0.8178,0.64852,1.0463,0.68364,0.79025,0.79549,0.60824,0.90105,0.68568,1.09418,7.08784e-05,7.08784e-05,7.08784e-05
50,107486,0.80675,0.64219,1.03943,0.67259,0.80513,0.79574,0.60946,0.89732,0.68525,1.09048,4.25842e-05,4.25842e-05,4.25842e-05
