epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2230.91,1.50429,2.21299,1.46324,0.49549,0.60668,0.57292,0.32594,1.42525,2.19233,1.51093,0.000475017,0.000475017,0.000475017
2,4433.88,1.46071,1.56923,1.40018,0.53996,0.64015,0.58545,0.33707,1.4293,1.49186,1.44915,0.000932514,0.000932514,0.000932514
3,6600.5,1.45401,1.3934,1.40102,0.62597,0.63806,0.66471,0.40198,1.32508,1.30141,1.37867,0.00137115,0.00137115,0.00137115
4,8764.46,1.41883,1.29737,1.36703,0.60527,0.7154,0.67296,0.41898,1.30921,1.11871,1.3665,0.00134412,0.00134412,0.00134412
5,10967.4,1.36619,1.23268,1.33322,0.62647,0.69216,0.70033,0.44727,1.26144,1.06397,1.31925,0.00131582,0.00131582,0.00131582
6,13149.6,1.32666,1.17017,1.31923,0.5995,0.77055,0.72711,0.47917,1.20146,0.97037,1.27889,0.00128753,0.00128753,0.00128753
7,15321.4,1.29558,1.14375,1.29535,0.58139,0.77278,0.73626,0.48638,1.1878,0.94682,1.26462,0.00125923,0.00125923,0.00125923
8,17495.6,1.2704,1.0992,1.27819,0.63083,0.75906,0.72975,0.48556,1.19414,0.92984,1.27165,0.00123094,0.00123094,0.00123094
9,19668.9,1.26863,1.08675,1.28009,0.57625,0.74892,0.71165,0.44109,1.27333,0.99256,1.32705,0.00120265,0.00120265,0.00120265
10,21841.9,1.23557,1.07385,1.25777,0.61115,0.78912,0.75139,0.51397,1.12453,0.89313,1.22105,0.00117435,0.00117435,0.00117435
11,23999.9,1.2262,1.05285,1.24757,0.60692,0.75386,0.73291,0.49414,1.13012,0.90542,1.22469,0.00114606,0.00114606,0.00114606
12,26167,1.21361,1.03248,1.23999,0.63177,0.75783,0.73964,0.50552,1.10863,0.87342,1.2146,0.00111776,0.00111776,0.00111776
13,28333.1,1.18831,1.01123,1.23466,0.61951,0.76595,0.73638,0.49914,1.12476,0.88252,1.21274,0.00108947,0.00108947,0.00108947
14,30501.4,1.18615,0.99836,1.22782,0.62935,0.76771,0.7552,0.52956,1.09006,0.84046,1.20711,0.00106118,0.00106118,0.00106118
15,32659,1.16622,0.99067,1.20862,0.6516,0.7645,0.75214,0.51123,1.13583,0.9007,1.23635,0.00103288,0.00103288,0.00103288
16,34824.9,1.16191,0.98364,1.20782,0.63085,0.78519,0.76002,0.53143,1.08414,0.84118,1.18965,0.00100459,0.00100459,0.00100459
17,36998.1,1.15715,0.9851,1.21391,0.61576,0.80331,0.75253,0.52933,1.0741,0.82689,1.19451,0.000976293,0.000976293,0.000976293
18,39162.2,1.14139,0.95903,1.19936,0.63348,0.71646,0.74632,0.51732,1.07178,0.88807,1.19724,0.000947999,0.000947999,0.000947999
19,41370.5,1.12885,0.96048,1.19971,0.64293,0.77166,0.76336,0.55219,1.01859,0.79076,1.16778,0.000919704,0.000919704,0.000919704
20,43573.1,1.12976,0.93878,1.19688,0.63421,0.79454,0.76889,0.547,1.04026,0.79637,1.17003,0.00089141,0.00089141,0.00089141
21,45730.2,1.12277,0.93378,1.19131,0.65686,0.76039,0.76998,0.55513,1.0234,0.80756,1.16472,0.000863116,0.000863116,0.000863116
22,47891.7,1.10608,0.92775,1.18309,0.64419,0.77392,0.77185,0.55693,1.01927,0.79427,1.15714,0.000834822,0.000834822,0.000834822
