epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12712.5,1.22924,1.2385,1.32389,0.82151,0.90452,0.91183,0.61682,1.14463,0.96989,1.42248,0.000475566,0.000475566,0.000475566
2,25491,1.19736,0.83557,1.31923,0.82261,0.94484,0.90967,0.65742,1.00394,0.78567,1.28696,0.000914204,0.000914204,0.000914204
3,38179.3,1.15535,0.78264,1.29131,0.8587,0.94811,0.91643,0.65917,1.00091,0.70225,1.28809,0.00131512,0.00131512,0.00131512
