epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3362.13,1.23728,1.48024,1.20592,0.82687,0.94714,0.87884,0.61641,1.01125,1.0237,1.08161,0.000665593,0.000665593,0.000665593
2,6692.57,1.20335,0.90503,1.19646,0.80301,0.92924,0.87289,0.54951,1.15014,1.02031,1.19352,0.00130588,0.00130588,0.00130588
3,10018.7,1.17469,0.82462,1.18816,0.86181,0.94118,0.94289,0.69714,0.96422,0.63794,1.0841,0.00191977,0.00191977,0.00191977
4,13343.5,1.1423,0.78129,1.17348,0.86991,0.95141,0.92983,0.65468,0.99414,0.64169,1.12284,0.0018812,0.0018812,0.0018812
5,16676.8,1.07395,0.72976,1.14469,0.88998,0.9676,0.97284,0.74808,0.8841,0.55696,1.01327,0.0018416,0.0018416,0.0018416
6,20005,1.041,0.69584,1.12316,0.89719,0.96249,0.96952,0.74888,0.88149,0.53983,1.02662,0.001802,0.001802,0.001802
7,23376.8,1.0185,0.67228,1.11764,0.90776,0.95652,0.96872,0.7498,0.8726,0.54674,1.0179,0.0017624,0.0017624,0.0017624
8,26719.3,0.98871,0.65214,1.10127,0.91473,0.96029,0.97746,0.77938,0.79837,0.50432,0.979,0.0017228,0.0017228,0.0017228
9,30074.7,0.97368,0.63994,1.09157,0.9062,0.96419,0.97982,0.79,0.7748,0.49495,0.97311,0.0016832,0.0016832,0.0016832
10,33396.2,0.95439,0.62438,1.08895,0.91543,0.95567,0.97846,0.77372,0.82336,0.48157,0.98652,0.0016436,0.0016436,0.0016436
11,36750.5,0.93531,0.61585,1.07709,0.93069,0.95009,0.98187,0.80086,0.7434,0.47749,0.95957,0.001604,0.001604,0.001604
12,40075.4,0.93846,0.60216,1.07676,0.91136,0.96419,0.98055,0.80376,0.72652,0.44787,0.94848,0.0015644,0.0015644,0.0015644
13,43393.6,0.90415,0.58405,1.06804,0.92074,0.9497,0.9813,0.81213,0.71414,0.44727,0.95576,0.0015248,0.0015248,0.0015248
14,46752.9,0.91404,0.58135,1.07192,0.93318,0.95226,0.98449,0.80526,0.74421,0.44104,0.95945,0.0014852,0.0014852,0.0014852
15,50106.4,0.90175,0.57716,1.06599,0.93042,0.95396,0.98135,0.80652,0.74086,0.43688,0.95721,0.0014456,0.0014456,0.0014456
16,53460,0.88412,0.57149,1.06038,0.91856,0.96164,0.97926,0.79698,0.77501,0.43773,0.967,0.001406,0.001406,0.001406
17,56807.6,0.87573,0.55817,1.0496,0.94699,0.94428,0.98613,0.82419,0.69903,0.40942,0.93689,0.0013664,0.0013664,0.0013664
