epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.542,1.71596,2.55111,1.63564,0.82831,0.26425,0.46744,0.22365,1.67836,3.04015,1.70465,0.000549423,0.000549423,0.000549423
2,1020.15,1.59201,1.87318,1.56179,0.57802,0.67239,0.67102,0.34677,1.55743,2.20183,1.62193,0.00109415,0.00109415,0.00109415
3,1524.98,1.62734,1.70287,1.54921,0.61614,0.68021,0.66751,0.3373,1.63577,1.7376,1.65882,0.00162787,0.00162787,0.00162787
4,2027.88,1.61109,1.52651,1.51343,0.59675,0.61736,0.64892,0.31566,1.63566,1.63615,1.59771,0.00161749,0.00161749,0.00161749
5,2535.4,1.56079,1.40149,1.46744,0.63594,0.64106,0.69073,0.37575,1.59225,1.62132,1.55118,0.00160099,0.00160099,0.00160099
6,3041.28,1.54015,1.29177,1.44797,0.64024,0.78442,0.77684,0.44374,1.46861,1.14592,1.47738,0.00158448,0.00158448,0.00158448
7,3545.69,1.51084,1.27031,1.44141,0.5427,0.7605,0.70273,0.3859,1.53504,1.17556,1.50625,0.00156798,0.00156798,0.00156798
8,4046.12,1.48382,1.24036,1.44704,0.67828,0.80915,0.78257,0.45167,1.50517,1.08038,1.4488,0.00155148,0.00155148,0.00155148
9,4554.27,1.44176,1.19198,1.40238,0.63497,0.80049,0.75846,0.4162,1.53057,1.09599,1.48263,0.00153497,0.00153497,0.00153497
10,5056.9,1.44223,1.15135,1.38774,0.67414,0.80337,0.76064,0.45556,1.38104,1.05412,1.37214,0.00151847,0.00151847,0.00151847
11,5559.07,1.40097,1.10331,1.38776,0.65675,0.77886,0.79523,0.48693,1.31443,0.98121,1.35569,0.00150197,0.00150197,0.00150197
12,6060.64,1.39101,1.06934,1.36414,0.6599,0.85695,0.79997,0.51689,1.31316,0.96181,1.33191,0.00148546,0.00148546,0.00148546
13,6564.22,1.40379,1.08779,1.37517,0.69874,0.85076,0.78503,0.47269,1.40192,0.91015,1.41196,0.00146896,0.00146896,0.00146896
14,7068.11,1.39116,1.05866,1.36386,0.63385,0.8465,0.78599,0.49352,1.31684,0.94703,1.3763,0.00145246,0.00145246,0.00145246
15,7576.37,1.36944,1.05698,1.36342,0.71916,0.83782,0.82865,0.54075,1.27704,0.855,1.32238,0.00143595,0.00143595,0.00143595
16,8082.38,1.35116,1.00311,1.32578,0.71535,0.77885,0.79451,0.48701,1.3682,0.88338,1.38633,0.00141945,0.00141945,0.00141945
17,8586.31,1.30579,0.9953,1.31367,0.64341,0.80484,0.76097,0.47109,1.31765,0.94276,1.35643,0.00140295,0.00140295,0.00140295
18,9094.23,1.28731,0.99173,1.28981,0.73743,0.80627,0.80446,0.49574,1.31472,0.91054,1.33205,0.00138644,0.00138644,0.00138644
19,9604.23,1.28723,0.99048,1.29965,0.68671,0.85948,0.79994,0.48421,1.34006,0.84173,1.36653,0.00136994,0.00136994,0.00136994
20,10108.7,1.30015,0.97308,1.30766,0.73316,0.77353,0.80755,0.50001,1.29446,0.84349,1.3209,0.00135344,0.00135344,0.00135344
21,10613.8,1.2672,0.93229,1.29629,0.72871,0.81787,0.81184,0.51406,1.30145,0.84597,1.33947,0.00133693,0.00133693,0.00133693
22,11113.3,1.27856,0.9399,1.29472,0.75134,0.81787,0.80887,0.51074,1.31162,0.79619,1.32247,0.00132043,0.00132043,0.00132043
23,11613.5,1.25258,0.94384,1.27486,0.71799,0.85708,0.82199,0.54679,1.19248,0.76201,1.26373,0.00130393,0.00130393,0.00130393
24,12114.9,1.25033,0.90462,1.27665,0.757,0.81007,0.84405,0.56216,1.2109,0.79242,1.26097,0.00128742,0.00128742,0.00128742
25,12618,1.23297,0.9009,1.25886,0.65037,0.8516,0.81217,0.51167,1.28451,0.88092,1.33623,0.00127092,0.00127092,0.00127092
26,13116.3,1.24598,0.90667,1.26313,0.69157,0.92347,0.8097,0.52527,1.21092,0.77753,1.25689,0.00125442,0.00125442,0.00125442
27,13620.5,1.21534,0.9031,1.25024,0.68532,0.82815,0.80661,0.53837,1.23731,0.83806,1.27604,0.00123791,0.00123791,0.00123791
28,14120.6,1.23001,0.88743,1.26127,0.72751,0.82562,0.80958,0.5426,1.22788,0.78207,1.29316,0.00122141,0.00122141,0.00122141
29,14622.4,1.21871,0.88279,1.25538,0.69885,0.86725,0.83558,0.56115,1.18533,0.74433,1.25786,0.00120491,0.00120491,0.00120491
30,15122.8,1.21823,0.87871,1.26032,0.74657,0.77401,0.83503,0.57499,1.17079,0.77566,1.22332,0.0011884,0.0011884,0.0011884
31,15628.8,1.19125,0.85145,1.24423,0.73881,0.8613,0.80817,0.54912,1.19318,0.74118,1.27685,0.0011719,0.0011719,0.0011719
32,16130.8,1.18022,0.84828,1.22629,0.71088,0.87066,0.82426,0.51433,1.30994,0.76287,1.35565,0.0011554,0.0011554,0.0011554
33,16633.6,1.19217,0.87924,1.24515,0.70155,0.84606,0.82755,0.53821,1.23171,0.76298,1.28081,0.00113889,0.00113889,0.00113889
34,17138.3,1.16157,0.82765,1.21531,0.73353,0.85168,0.82946,0.55894,1.16869,0.74078,1.23959,0.00112239,0.00112239,0.00112239
35,17643.9,1.14656,0.83434,1.21913,0.7158,0.81759,0.83734,0.56879,1.16942,0.73154,1.22545,0.00110589,0.00110589,0.00110589
36,18144.5,1.17833,0.83652,1.2412,0.71699,0.84894,0.81871,0.55389,1.22075,0.75768,1.27825,0.00108938,0.00108938,0.00108938
